time,open,high,low,close,OB long,OB Short,FVG Long,FVG Short
2026-03-02T07:35:00+08:00,1.17631,1.17649,1.17588,1.17615,0,0,0,0
2026-03-02T07:40:00+08:00,1.17616,1.17665,1.17609,1.17665,1,0,0,0
2026-03-02T07:45:00+08:00,1.17666,1.17675,1.1759,1.17591,0,0,0,0
2026-03-02T07:50:00+08:00,1.17593,1.17617,1.1757,1.17599,0,0,0,0
2026-03-02T07:55:00+08:00,1.17599,1.17609,1.17583,1.17594,0,0,0,0
2026-03-02T08:00:00+08:00,1.17593,1.1762,1.17561,1.17594,0,0,0,0
2026-03-02T08:05:00+08:00,1.17595,1.17675,1.17578,1.17663,0,0,0,0
2026-03-02T08:10:00+08:00,1.17664,1.17706,1.17663,1.17701,0,0,0,0
2026-03-02T08:15:00+08:00,1.17702,1.17758,1.17692,1.17723,0,0,0,0
2026-03-02T08:20:00+08:00,1.17726,1.17751,1.17715,1.17737,0,0,0,0
2026-03-02T08:25:00+08:00,1.17739,1.1775,1.17678,1.17704,0,0,0,0
2026-03-02T08:30:00+08:00,1.17705,1.17716,1.17656,1.17657,0,0,0,0
2026-03-02T08:35:00+08:00,1.17658,1.17693,1.17636,1.17692,0,0,0,0
2026-03-02T08:40:00+08:00,1.17693,1.17716,1.17686,1.1771,0,0,0,0
2026-03-02T08:45:00+08:00,1.17711,1.17723,1.17681,1.17686,0,0,0,0
2026-03-02T08:50:00+08:00,1.17688,1.17699,1.1767,1.1769,0,0,0,0
2026-03-02T08:55:00+08:00,1.1769,1.17783,1.17676,1.17776,0,0,0,0
2026-03-02T09:00:00+08:00,1.1777,1.17819,1.17754,1.17782,0,0,0,0
2026-03-02T09:05:00+08:00,1.17781,1.17816,1.17763,1.1781,0,0,0,0
2026-03-02T09:10:00+08:00,1.17812,1.17896,1.1781,1.17875,0,0,0,0
2026-03-02T09:15:00+08:00,1.17874,1.17889,1.17826,1.1783,0,0,0,0
2026-03-02T09:20:00+08:00,1.17829,1.17854,1.17807,1.17818,0,0,0,0
2026-03-02T09:25:00+08:00,1.17818,1.17851,1.1781,1.17851,0,0,0,0
2026-03-02T09:30:00+08:00,1.17852,1.17928,1.17834,1.17924,0,0,0,0
2026-03-02T09:35:00+08:00,1.17923,1.17941,1.17916,1.17931,0,0,0,0
2026-03-02T09:40:00+08:00,1.1793,1.1794,1.17893,1.1791,0,0,0,0
2026-03-02T09:45:00+08:00,1.17912,1.17923,1.17882,1.17905,0,0,0,0
2026-03-02T09:50:00+08:00,1.17906,1.17925,1.17879,1.179,0,0,0,0
2026-03-02T09:55:00+08:00,1.17899,1.17927,1.17898,1.17919,0,0,0,0
2026-03-02T10:00:00+08:00,1.1792,1.17935,1.17884,1.17907,0,0,0,0
2026-03-02T10:05:00+08:00,1.17906,1.17911,1.17854,1.17868,0,0,0,0
2026-03-02T10:10:00+08:00,1.17867,1.17868,1.17843,1.17855,0,0,0,0
2026-03-02T10:15:00+08:00,1.17853,1.17858,1.17817,1.17817,0,0,0,0
2026-03-02T10:20:00+08:00,1.17818,1.17846,1.17809,1.1783,0,0,0,0
2026-03-02T10:25:00+08:00,1.17824,1.17842,1.17822,1.17835,0,0,0,0
2026-03-02T10:30:00+08:00,1.17834,1.17858,1.17832,1.17854,0,0,0,0
2026-03-02T10:35:00+08:00,1.17854,1.17879,1.17841,1.17876,0,0,0,0
2026-03-02T10:40:00+08:00,1.17875,1.1789,1.17859,1.1786,0,0,0,0
2026-03-02T10:45:00+08:00,1.17863,1.17878,1.17848,1.17849,0,0,0,0
2026-03-02T10:50:00+08:00,1.17848,1.1788,1.17848,1.17879,0,0,0,0
2026-03-02T10:55:00+08:00,1.17882,1.17894,1.17864,1.17886,0,0,0,0
2026-03-02T11:00:00+08:00,1.17887,1.17916,1.17883,1.17916,0,0,0,0
2026-03-02T11:05:00+08:00,1.17915,1.17941,1.17905,1.17908,0,0,0,0
2026-03-02T11:10:00+08:00,1.17907,1.17917,1.17897,1.1791,0,0,0,0
2026-03-02T11:15:00+08:00,1.17909,1.1792,1.17903,1.17919,0,0,0,0
2026-03-02T11:20:00+08:00,1.17918,1.17939,1.17918,1.17924,0,0,0,0
2026-03-02T11:25:00+08:00,1.17924,1.17958,1.17922,1.17942,0,0,0,0
2026-03-02T11:30:00+08:00,1.17943,1.17955,1.17917,1.17917,0,0,0,0
2026-03-02T11:35:00+08:00,1.17918,1.1793,1.17907,1.17916,0,0,0,0
2026-03-02T11:40:00+08:00,1.17915,1.17939,1.17907,1.17928,0,0,0,0
2026-03-02T11:45:00+08:00,1.17927,1.17935,1.17905,1.1792,0,0,0,0
2026-03-02T11:50:00+08:00,1.17918,1.17925,1.17905,1.17907,0,0,0,0
2026-03-02T11:55:00+08:00,1.17909,1.1791,1.17882,1.17888,0,0,0,0
2026-03-02T12:00:00+08:00,1.17889,1.17905,1.17885,1.17899,0,0,0,0
2026-03-02T12:05:00+08:00,1.17896,1.179,1.1787,1.17873,0,0,0,0
2026-03-02T12:10:00+08:00,1.17875,1.1788,1.17871,1.17878,0,0,0,0
2026-03-02T12:15:00+08:00,1.1788,1.17889,1.17852,1.17852,0,-1,0,0
2026-03-02T12:20:00+08:00,1.17851,1.17868,1.17835,1.17854,0,0,0,0
2026-03-02T12:25:00+08:00,1.17855,1.17872,1.1785,1.17869,0,0,0,0
2026-03-02T12:30:00+08:00,1.1787,1.17877,1.17858,1.17869,0,-1,0,0
2026-03-02T12:35:00+08:00,1.17868,1.17878,1.17841,1.17847,0,0,0,0
2026-03-02T12:40:00+08:00,1.17845,1.1786,1.17828,1.17835,0,0,0,0
2026-03-02T12:45:00+08:00,1.17837,1.1784,1.17817,1.17836,0,0,0,0
2026-03-02T12:50:00+08:00,1.17835,1.17846,1.17826,1.17844,0,0,0,0
2026-03-02T12:55:00+08:00,1.17842,1.17864,1.17833,1.17863,0,0,0,0
2026-03-02T13:00:00+08:00,1.17864,1.17864,1.17816,1.17816,0,0,0,0
2026-03-02T13:05:00+08:00,1.17815,1.17819,1.17784,1.1779,0,0,0,0
2026-03-02T13:10:00+08:00,1.1779,1.17794,1.17757,1.17758,0,0,0,0
2026-03-02T13:15:00+08:00,1.17757,1.17766,1.17747,1.17764,0,0,0,0
2026-03-02T13:20:00+08:00,1.17763,1.17767,1.17742,1.17766,0,0,0,0
2026-03-02T13:25:00+08:00,1.17765,1.17774,1.17747,1.17755,0,0,0,0
2026-03-02T13:30:00+08:00,1.17756,1.1779,1.17756,1.17788,0,0,0,0
2026-03-02T13:35:00+08:00,1.17789,1.17794,1.17767,1.17771,0,0,0,0
2026-03-02T13:40:00+08:00,1.1777,1.1777,1.17736,1.17738,0,0,0,0
2026-03-02T13:45:00+08:00,1.17739,1.17741,1.17705,1.17708,0,0,0,0
2026-03-02T13:50:00+08:00,1.17709,1.17736,1.17706,1.17714,0,0,0,0
2026-03-02T13:55:00+08:00,1.17715,1.17719,1.17661,1.17664,0,0,0,0
2026-03-02T14:00:00+08:00,1.17665,1.17667,1.17565,1.17582,0,0,0,0
2026-03-02T14:05:00+08:00,1.17582,1.17614,1.1758,1.17599,0,0,0,0
2026-03-02T14:10:00+08:00,1.17598,1.17599,1.17531,1.17534,0,0,0,0
2026-03-02T14:15:00+08:00,1.17535,1.17549,1.17504,1.17529,0,0,0,0
2026-03-02T14:20:00+08:00,1.17529,1.17535,1.1741,1.17411,0,0,0,0
2026-03-02T14:25:00+08:00,1.17412,1.17445,1.17366,1.17411,0,0,0,0
2026-03-02T14:30:00+08:00,1.17413,1.17429,1.17378,1.17388,0,0,0,0
2026-03-02T14:35:00+08:00,1.17387,1.17431,1.17367,1.17372,0,0,0,0
