time,open,high,low,close,smz_trend_15m,smz_trend_1h,smz_trend_4h,smz_trend_1d,poi_high_bull,poi_high_bear,poi_mid_bull,poi_mid_bear,htf_fvg_1h_bull,htf_fvg_1h_bear,htf_fvg_4h_bull,htf_fvg_4h_bear,smc_liquidity_high,smc_liquidity_low,liq_buyside_target,liq_sellside_target,asia_session_high,asia_session_low,london_session_high,london_session_low,ny_session_high,ny_session_low,pd_high,pd_low,pd_mid,daily_mid_50,true_day_open,crt_buy_signal,crt_sell_signal,sb_sig_ln,sb_sig_am,sb_sig_pm,sb_lux_ln,sb_lux_am,sb_lux_pm,sb_or_range,sb_trading_range,htf_sweep_4h_bull,htf_sweep_4h_bear,htf_sweep_1d_bull,htf_sweep_1d_bear,liquidity_sweep_bull,liquidity_sweep_bear,choch_bull,choch_bear,cisd_bull,cisd_bear,mss_bull,mss_bear,fvg_sb_bull,fvg_sb_bear,fvg_smz_bull,fvg_smz_bear,fvg_bpr_bull,fvg_bpr_bear,mss_fvg_bull,mss_fvg_bear,entry_sb_bull,entry_sb_bear,entry_setup01_bull,entry_setup01_bear,entry_ote_bull,entry_ote_bear,entry_fvg_bull,entry_fvg_bear,bb_pivot_high,bb_pivot_low,stop_loss_bull,stop_loss_bear,target_bull,target_bear
2025-12-08 08:05:00,4210.43,4212.18,4209.6,4211.4,-1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:10:00,4211.38,4212.73,4210.34,4211.4,-1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:15:00,4211.44,4212.45,4210.42,4211.91,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:20:00,4211.84,4216.64,4211.84,4214.05,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:25:00,4214.03,4214.09,4209.16,4209.57,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:30:00,4209.34,4210.68,4206.0,4206.48,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:35:00,4206.44,4208.93,4205.0,4208.37,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:40:00,4208.3,4209.8,4207.71,4209.03,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4219.02,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:45:00,4208.79,4212.02,4208.78,4210.39,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:50:00,4210.25,4211.98,4209.49,4210.15,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 08:55:00,4210.13,4210.27,4206.99,4209.63,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 09:00:00,4209.16,4210.58,4207.96,4208.31,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 09:05:00,4208.32,4209.1,4204.11,4207.5,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 09:10:00,4207.53,4210.56,4206.55,4209.11,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 09:15:00,4209.15,4210.57,4208.51,4210.13,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 09:20:00,4210.21,4210.21,4206.26,4209.62,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 09:25:00,4209.6,4210.87,4209.19,4210.56,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 09:30:00,4210.65,4211.58,4208.9,4209.25,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
2025-12-08 09:35:00,4209.23,4210.25,4207.25,4208.04,1,-1,-1,-1,2,0,2,0,0,0,0,0,4219.56,4180.97,4216.64,,4219.02,4207.93,4259.32,4198.5,0.0,0.0,5595.18,5098.65,0.0,4206.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,5595.18,4193.94
