time,open,high,low,close,Long,Short
2026-02-26T01:20:00+08:00,1.18121,1.18127,1.18106,1.18117,0,0
2026-02-26T01:25:00+08:00,1.18116,1.18124,1.18082,1.181,0,0
2026-02-26T01:30:00+08:00,1.18099,1.18115,1.18091,1.18111,0,0
2026-02-26T01:35:00+08:00,1.1811,1.18133,1.181,1.1812,0,0
2026-02-26T01:40:00+08:00,1.18119,1.18145,1.18118,1.18126,0,0
2026-02-26T01:45:00+08:00,1.18125,1.1813,1.18088,1.18089,0,0
2026-02-26T01:50:00+08:00,1.18088,1.18114,1.18076,1.18087,0,0
2026-02-26T01:55:00+08:00,1.18088,1.1809,1.18066,1.18076,0,0
2026-02-26T02:00:00+08:00,1.18074,1.18105,1.18063,1.18077,0,0
2026-02-26T02:05:00+08:00,1.18078,1.18091,1.18062,1.18075,0,0
2026-02-26T02:10:00+08:00,1.18076,1.18083,1.18069,1.18076,0,0
2026-02-26T02:15:00+08:00,1.18077,1.18108,1.1807,1.18089,0,0
2026-02-26T02:20:00+08:00,1.18088,1.18095,1.18061,1.18065,0,0
2026-02-26T02:25:00+08:00,1.18063,1.1808,1.18062,1.18075,0,0
2026-02-26T02:30:00+08:00,1.18074,1.18085,1.1805,1.18056,0,0
2026-02-26T02:35:00+08:00,1.18058,1.18067,1.18055,1.18062,0,0
2026-02-26T02:40:00+08:00,1.18062,1.18071,1.18049,1.18051,0,0
2026-02-26T02:45:00+08:00,1.18052,1.18066,1.1805,1.18064,0,0
2026-02-26T02:50:00+08:00,1.18063,1.1807,1.18059,1.18061,0,0
2026-02-26T02:55:00+08:00,1.18064,1.18068,1.18041,1.18048,0,0
2026-02-26T03:00:00+08:00,1.18049,1.18065,1.18043,1.18058,0,0
2026-02-26T03:05:00+08:00,1.18057,1.1808,1.1804,1.1808,0,0
2026-02-26T03:10:00+08:00,1.18076,1.18096,1.18071,1.18091,0,0
2026-02-26T03:15:00+08:00,1.18092,1.18092,1.18068,1.18069,0,0
2026-02-26T03:20:00+08:00,1.18067,1.1807,1.1806,1.18064,0,0
2026-02-26T03:25:00+08:00,1.18065,1.18065,1.18036,1.18043,0,0
2026-02-26T03:30:00+08:00,1.18046,1.18047,1.1803,1.18035,0,0
2026-02-26T03:35:00+08:00,1.18034,1.18039,1.18027,1.18037,0,0
2026-02-26T03:40:00+08:00,1.18036,1.18063,1.18034,1.1806,0,0
2026-02-26T03:45:00+08:00,1.18061,1.18076,1.18056,1.18064,0,0
2026-02-26T03:50:00+08:00,1.18065,1.1807,1.1806,1.18064,0,0
2026-02-26T03:55:00+08:00,1.18066,1.18076,1.18055,1.18056,0,0
2026-02-26T04:00:00+08:00,1.18055,1.18068,1.18053,1.18068,1,0
2026-02-26T04:05:00+08:00,1.18067,1.18077,1.18067,1.18071,0,0
2026-02-26T04:10:00+08:00,1.1807,1.18072,1.18054,1.18057,0,0
2026-02-26T04:15:00+08:00,1.18059,1.18078,1.18054,1.18074,0,0
2026-02-26T04:20:00+08:00,1.18075,1.1808,1.1806,1.18067,0,0
2026-02-26T04:25:00+08:00,1.18066,1.18073,1.18049,1.18054,0,0
2026-02-26T04:30:00+08:00,1.18053,1.18089,1.18047,1.18086,1,0
2026-02-26T04:35:00+08:00,1.18088,1.18088,1.18068,1.18076,0,0
2026-02-26T04:40:00+08:00,1.18077,1.18078,1.18061,1.18074,0,0
2026-02-26T04:45:00+08:00,1.18074,1.1808,1.18061,1.18078,0,0
2026-02-26T04:50:00+08:00,1.18078,1.18081,1.18056,1.1806,0,0
2026-02-26T04:55:00+08:00,1.18059,1.18065,1.18045,1.18061,1,0
2026-02-26T05:00:00+08:00,1.1806,1.18074,1.18047,1.18072,0,0
2026-02-26T05:05:00+08:00,1.18072,1.1808,1.18062,1.18062,0,0
2026-02-26T05:10:00+08:00,1.18062,1.18063,1.1805,1.18052,0,0
2026-02-26T05:15:00+08:00,1.18051,1.18054,1.1804,1.18044,0,0
2026-02-26T05:20:00+08:00,1.18044,1.18045,1.18033,1.18043,0,0
2026-02-26T05:25:00+08:00,1.1804,1.18058,1.1804,1.18058,0,0
2026-02-26T05:30:00+08:00,1.18058,1.18075,1.18058,1.1807,0,0
2026-02-26T05:35:00+08:00,1.18071,1.1809,1.1807,1.1809,0,0
2026-02-26T05:40:00+08:00,1.18091,1.18111,1.18078,1.18108,0,0
2026-02-26T05:45:00+08:00,1.18107,1.18128,1.18088,1.18099,0,0
2026-02-26T05:50:00+08:00,1.18099,1.181,1.18079,1.18095,0,0
2026-02-26T05:55:00+08:00,1.18095,1.18106,1.18094,1.18101,0,0
2026-02-26T06:00:00+08:00,1.18046,1.18054,1.18046,1.18052,0,0
2026-02-26T06:05:00+08:00,1.18053,1.1807,1.18046,1.18048,0,0
2026-02-26T06:10:00+08:00,1.18048,1.18067,1.18044,1.18064,0,0
