"Order ID","Position ID","Event","Time (UTC+8)","Volume","Quantity","Type","Entry price","TP","SL","Closing price","Gross profit","Pips","Balance","Equity","Serial #"
"","42","Stop Loss Hit","18/03/2026 19:11:00.000","58000","0.58 Lots","Sell","1.15386","1.1521","1.15474","1.15487","-58.58","-10.1","10 232.60","10 313.70","82"
"","42","Create Position","18/03/2026 18:55:00.000","58000","0.58 Lots","Sell","1.15386","1.1521","1.15474","","0.00","0","-","10 370.52","80"
"","43","Stop Loss Hit","18/03/2026 22:01:00.000","45000","0.45 Lots","Sell","1.15059","1.14831","1.15173","1.15174","-51.75","-11.5","10 281.67","10 281.67","85"
"","43","Create Position","18/03/2026 21:45:00.000","45000","0.45 Lots","Sell","1.15059","1.14831","1.15173","","0.00","0","-","10 336.50","84"
"","44","Take Profit Hit","19/03/2026 02:58:00.000","30000","0.30 Lots","Sell","1.15156","1.1482","1.15324","1.14814","102.60","34.2","10 199.33","10 199.33","93"
"","44","Create Position","18/03/2026 22:10:00.000","30000","0.30 Lots","Sell","1.15156","1.1482","1.15324","","0.00","0","-","10 281.67","86"
"","45","Stop Loss Hit","19/03/2026 01:12:00.000","42000","0.42 Lots","Buy","1.15174","1.15418","1.15052","1.15033","-59.22","-14.1","10 154.11","10 216.67","91"
"","45","Create Position","18/03/2026 23:00:00.000","42000","0.42 Lots","Buy","1.15174","1.15418","1.15052","","0.00","0","-","10 274.21","87"
"","46","Stop Loss Hit","19/03/2026 00:36:00.000","42000","0.42 Lots","Buy","1.15232","1.15472","1.15112","1.15083","-62.58","-14.9","10 216.21","10 192.07","89"
"","46","Create Position","18/03/2026 23:25:00.000","42000","0.42 Lots","Buy","1.15232","1.15472","1.15112","","0.00","0","-","10 274.09","88"
"","47","Stop Loss Hit","19/03/2026 01:47:00.000","72000","0.72 Lots","Sell","1.15101","1.14961","1.15171","1.15171","-50.40","-7","10 098.79","10 092.23","92"
"","47","Create Position","19/03/2026 01:05:00.000","72000","0.72 Lots","Sell","1.15101","1.14961","1.15171","","0.00","0","-","10 194.11","90"
"","48","Stop Loss Hit","19/03/2026 03:53:00.000","40000","0.40 Lots","Buy","1.14827","1.15079","1.14701","1.14695","-52.80","-13.2","10 143.79","10 100.40","96"
"","48","Create Position","19/03/2026 03:05:00.000","40000","0.40 Lots","Buy","1.14827","1.15079","1.14701","","0.00","0","-","10 199.33","94"
"","49","Stop Loss Hit","19/03/2026 04:01:00.000","41000","0.41 Lots","Buy","1.14806","1.1505","1.14684","1.14682","-50.84","-12.4","10 090.15","10 090.15","97"
"","49","Create Position","19/03/2026 03:35:00.000","41000","0.41 Lots","Buy","1.14806","1.1505","1.14684","","0.00","0","-","10 184.19","95"
"","50","Stop Loss Hit","19/03/2026 05:23:00.000","81000","0.81 Lots","Sell","1.14575","1.14451","1.14637","1.14641","-53.46","-6.6","10 031.15","10 031.15","99"
"","50","Create Position","19/03/2026 05:20:00.000","81000","0.81 Lots","Sell","1.14575","1.14451","1.14637","","0.00","0","-","10 090.15","98"
"","51","Stop Loss Hit","19/03/2026 06:15:00.000","58000","0.58 Lots","Buy","1.14621","1.14793","1.14535","1.14525","-55.68","-9.6","9 971.51","9 971.51","101"
"","51","Create Position","19/03/2026 06:10:00.000","58000","0.58 Lots","Buy","1.14621","1.14793","1.14535","","0.00","0","-","10 031.15","100"
"","52","Take Profit Hit","19/03/2026 09:38:00.000","47000","0.47 Lots","Buy","1.14608","1.1482","1.14502","1.14838","108.10","23","10 076.39","10 135.13","104"
"","52","Create Position","19/03/2026 07:05:00.000","47000","0.47 Lots","Buy","1.14608","1.1482","1.14502","","0.00","0","-","9 971.51","102"
"","53","Stop Loss Hit","19/03/2026 15:58:00.000","36000","0.36 Lots","Buy","1.14663","1.14937","1.14526","1.14514","-53.64","-14.9","10 226.83","10 226.83","109"
"","53","Create Position","19/03/2026 07:50:00.000","36000","0.36 Lots","Buy","1.14663","1.14937","1.14526","","0.00","0","-","9 989.44","103"
"","54","Take Profit Hit","19/03/2026 11:39:00.000","76000","0.76 Lots","Sell","1.14898","1.14766","1.14964","1.14765","101.08","13.3","10 172.27","10 202.57","106"
"","54","Create Position","19/03/2026 10:25:00.000","76000","0.76 Lots","Sell","1.14898","1.14766","1.14964","","0.00","0","-","10 158.53","105"
"","55","Take Profit Hit","19/03/2026 15:03:00.000","67000","0.67 Lots","Sell","1.14715","1.14565","1.1479","1.14543","115.24","17.2","10 282.93","10 242.31","108"
"","55","Create Position","19/03/2026 12:25:00.000","67000","0.67 Lots","Sell","1.14715","1.14565","1.1479","","0.00","0","-","10 188.53","107"
"","56","Stop Loss Hit","19/03/2026 16:39:00.000","66000","0.66 Lots","Sell","1.14517","1.14363","1.14594","1.14598","-53.46","-8.1","10 168.85","10 168.85","111"
"","56","Create Position","19/03/2026 16:30:00.000","66000","0.66 Lots","Sell","1.14517","1.14363","1.14594","","0.00","0","-","10 226.83","110"
