time,open,high,low,close,Ultra High Volume,Very High Volume,High Volume,Trend MA,High Taken,Low Taken,High Taken (no text),Low Taken (no text),#1,#2,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Swing High,Swing Low,Turtle Soup Buy Auto,Turtle Soup Sell Auto,Turtle Soup Buy Huge,Turtle Soup Sell Huge,Turtle Soup Buy Large,Turtle Soup Sell Large,Turtle Soup Buy Normal,Turtle Soup Sell Normal,Turtle Soup Buy Small,Turtle Soup Sell Small,Turtle Soup Buy Tiny,Turtle Soup Sell Tiny,Plot,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2026-01-05T17:55:00+08:00,4434.96,4436.94,4434.01,4434.95,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3300.42,3300.73,3298.79,3299.1,3,2,1,0
2026-01-05T18:00:00+08:00,4434.97,4435.3,4431.17,4432.23,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3299.06,3299.31,3296.46,3297.58,3,2,1,0
2026-01-05T18:05:00+08:00,4432.22,4433.55,4430.74,4432.78,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3297.45,3297.45,3295.79,3296.16,3,2,1,0
2026-01-05T18:10:00+08:00,4432.79,4433.57,4431.8,4433.28,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3295.7,3297.02,3295.32,3296.52,3,2,1,0
2026-01-05T18:15:00+08:00,4433.32,4433.32,4431.41,4431.85,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3296.56,3296.67,3293.26,3293.26,3,2,1,0
2026-01-05T18:20:00+08:00,4431.87,4434.29,4431.71,4433.83,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3293.48,3295.45,3293.42,3295.27,3,2,1,0
2026-01-05T18:25:00+08:00,4433.87,4436.54,4432.4,4433.27,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3295.24,3297.8,3294.94,3295.54,3,2,1,0
2026-01-05T18:30:00+08:00,4433.24,4437.17,4432.55,4436.5,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3295.4,3298.23,3295.13,3297.59,3,2,1,0
2026-01-05T18:35:00+08:00,4436.5,4438.88,4435.26,4436.1,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3297.67,3298.9,3296.35,3297.12,3,2,1,0
2026-01-05T18:40:00+08:00,4436.1,4436.37,4434.64,4434.95,,,,,,,,,4353.22,4353.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3297.14,3297.8,3295.78,3295.85,3,2,1,0
