time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
2026-03-05T00:30:00+08:00,1.16334,1.16365,1.16299,1.16362,,1.16365,1.16299,1.16362
2026-03-05T00:35:00+08:00,1.16364,1.164,1.16356,1.16386,,1.164,1.16356,1.16386
2026-03-05T00:40:00+08:00,1.16387,1.16419,1.16376,1.16389,,1.16419,1.16376,1.16389
2026-03-05T00:45:00+08:00,1.16387,1.16399,1.1637,1.16375,,1.16399,1.1637,1.16375
2026-03-05T00:50:00+08:00,1.16376,1.16389,1.16361,1.16386,,1.16389,1.16361,1.16386
2026-03-05T00:55:00+08:00,1.16388,1.16392,1.16352,1.16372,,1.16392,1.16352,1.16372
2026-03-05T01:00:00+08:00,1.16373,1.16423,1.16366,1.1642,,1.16423,1.16366,1.1642
2026-03-05T01:05:00+08:00,1.16422,1.16436,1.16371,1.16372,,1.16436,1.16371,1.16372
2026-03-05T01:10:00+08:00,1.16373,1.16386,1.16334,1.16344,,1.16386,1.16334,1.16344
2026-03-05T01:15:00+08:00,1.16347,1.1638,1.16328,1.16373,,1.1638,1.16328,1.16373
2026-03-05T01:20:00+08:00,1.16368,1.16368,1.163,1.16307,,1.16368,1.163,1.16307
2026-03-05T01:25:00+08:00,1.16309,1.1632,1.1628,1.16286,,1.1632,1.1628,1.16286
2026-03-05T01:30:00+08:00,1.16287,1.163,1.16267,1.16282,,1.163,1.16267,1.16282
2026-03-05T01:35:00+08:00,1.16281,1.16306,1.16264,1.16301,,1.16306,1.16264,1.16301
2026-03-05T01:40:00+08:00,1.16302,1.16305,1.16279,1.16281,,1.16305,1.16279,1.16281
2026-03-05T01:45:00+08:00,1.16279,1.16347,1.16279,1.16345,,1.16347,1.16279,1.16345
2026-03-05T01:50:00+08:00,1.16344,1.16349,1.1633,1.16335,,1.16349,1.1633,1.16335
2026-03-05T01:55:00+08:00,1.16336,1.16336,1.16303,1.16332,,1.16336,1.16303,1.16332
2026-03-05T02:00:00+08:00,1.16333,1.16336,1.16278,1.1628,,1.16336,1.16278,1.1628
2026-03-05T02:05:00+08:00,1.16278,1.16304,1.16272,1.16288,,1.16304,1.16272,1.16288
2026-03-05T02:10:00+08:00,1.16287,1.16301,1.16273,1.16286,,1.16301,1.16273,1.16286
2026-03-05T02:15:00+08:00,1.16286,1.16286,1.1626,1.16268,,1.16286,1.1626,1.16268
2026-03-05T02:20:00+08:00,1.16267,1.1627,1.16243,1.16263,,1.1627,1.16243,1.16263
2026-03-05T02:25:00+08:00,1.16264,1.16272,1.16237,1.16254,,1.16272,1.16237,1.16254
2026-03-05T02:30:00+08:00,1.16256,1.16283,1.16248,1.16256,,1.16283,1.16248,1.16256
2026-03-05T02:35:00+08:00,1.16257,1.16278,1.16245,1.16251,,1.16278,1.16245,1.16251
2026-03-05T02:40:00+08:00,1.1625,1.16266,1.16244,1.16264,,1.16266,1.16244,1.16264
2026-03-05T02:45:00+08:00,1.16266,1.16286,1.16249,1.16286,,1.16286,1.16249,1.16286
2026-03-05T02:50:00+08:00,1.16285,1.16291,1.1627,1.16276,,1.16291,1.1627,1.16276
2026-03-05T02:55:00+08:00,1.16277,1.1628,1.16234,1.16245,,1.1628,1.16234,1.16245
2026-03-05T03:00:00+08:00,1.16246,1.16298,1.16246,1.16295,,1.16298,1.16246,1.16295
2026-03-05T03:05:00+08:00,1.16294,1.16298,1.16262,1.16269,,1.16298,1.16262,1.16269
2026-03-05T03:10:00+08:00,1.16271,1.16281,1.16263,1.16275,,1.16281,1.16263,1.16275
2026-03-05T03:15:00+08:00,1.16274,1.16301,1.16274,1.16286,,1.16301,1.16274,1.16286
2026-03-05T03:20:00+08:00,1.16287,1.16292,1.16275,1.16287,,1.16292,1.16275,1.16287
2026-03-05T03:25:00+08:00,1.1629,1.16339,1.16287,1.16337,,1.16339,1.16287,1.16337
2026-03-05T03:30:00+08:00,1.1634,1.16347,1.16305,1.16306,,1.16347,1.16305,1.16306
2026-03-05T03:35:00+08:00,1.16308,1.16337,1.16304,1.16333,,1.16337,1.16304,1.16333
2026-03-05T03:40:00+08:00,1.16332,1.16345,1.16311,1.16318,,1.16345,1.16311,1.16318
2026-03-05T03:45:00+08:00,1.16317,1.16329,1.16305,1.1632,,1.16329,1.16305,1.1632
2026-03-05T03:50:00+08:00,1.16321,1.16358,1.1631,1.16358,,1.16358,1.1631,1.16358
2026-03-05T03:55:00+08:00,1.16356,1.16412,1.16353,1.16398,,1.16412,1.16353,1.16398
2026-03-05T04:00:00+08:00,1.16399,1.16413,1.16392,1.1641,,1.16413,1.16392,1.1641
2026-03-05T04:05:00+08:00,1.16411,1.16414,1.16386,1.16407,,1.16414,1.16386,1.16407
2026-03-05T04:10:00+08:00,1.16406,1.16408,1.16388,1.16405,,1.16408,1.16388,1.16405
