time,open,high,low,close,Break Major External Up TrendLine,React Major External Up TrendLine,Break Major External Down TrendLine,React Major External Down TrendLine,Break Major Internal Up TrendLine,React Major Internal Up TrendLine,Break Major Internal Down TrendLine,React Major Internal Down TrendLine,Break Minor External Up TrendLine,React Minor External Up TrendLine,Break Minor External Down TrendLine,React Minor External Down TrendLine,Break Minor Internal Up TrendLine,React Minor Internal Up TrendLine,Break Minor Internal Down TrendLine,React Minor Internal Down TrendLine
2026-03-06T04:20:00+08:00,1.15964,1.16027,1.15953,1.16027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:25:00+08:00,1.16028,1.16102,1.16026,1.16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:30:00+08:00,1.16039,1.16087,1.16008,1.16054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:35:00+08:00,1.16053,1.16096,1.1605,1.16068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:40:00+08:00,1.16066,1.16075,1.16035,1.16048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:45:00+08:00,1.1605,1.16069,1.15995,1.16067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:50:00+08:00,1.16071,1.16082,1.16039,1.16076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T04:55:00+08:00,1.16077,1.16077,1.16022,1.16048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:00:00+08:00,1.16044,1.16081,1.16032,1.16075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:05:00+08:00,1.16075,1.16103,1.16072,1.16102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:10:00+08:00,1.16102,1.16104,1.16059,1.16061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:15:00+08:00,1.16063,1.16067,1.16037,1.1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:20:00+08:00,1.1604,1.16054,1.16028,1.16034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:25:00+08:00,1.16035,1.16061,1.16026,1.16059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:30:00+08:00,1.16056,1.16076,1.16033,1.16034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:35:00+08:00,1.16034,1.16046,1.16017,1.16044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06T05:40:00+08:00,1.16043,1.16048,1.16031,1.16047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
