time_utc,time_hk,direction,signal_type,rejection_reason,filter_htf_poi,filter_trend,filter_time
2025-12-05 10:50:00+00:00,2025-12-05 18:50:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-05 11:25:00+00:00,2025-12-05 19:25:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-05 12:00:00+00:00,2025-12-05 20:00:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-05 12:20:00+00:00,2025-12-05 20:20:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-05 13:10:00+00:00,2025-12-05 21:10:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-05 16:00:00+00:00,2025-12-06 00:00:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-05 16:05:00+00:00,2025-12-06 00:05:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-05 17:30:00+00:00,2025-12-06 01:30:00 HKT,SHORT,ICT_Setup01,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-05 17:35:00+00:00,2025-12-06 01:35:00 HKT,SHORT,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-05 18:20:00+00:00,2025-12-06 02:20:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-07 23:00:00+00:00,2025-12-08 07:00:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-07 23:10:00+00:00,2025-12-08 07:10:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-07 23:20:00+00:00,2025-12-08 07:20:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,False
2025-12-08 01:20:00+00:00,2025-12-08 09:20:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-08 02:35:00+00:00,2025-12-08 10:35:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-08 03:50:00+00:00,2025-12-08 11:50:00 HKT,LONG,IFVG_Realtime,Trend Filter (15M/1H bias not aligned),True,False,True
2025-12-08 05:30:00+00:00,2025-12-08 13:30:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-08 05:45:00+00:00,2025-12-08 13:45:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-08 05:50:00+00:00,2025-12-08 13:50:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-08 06:05:00+00:00,2025-12-08 14:05:00 HKT,LONG,ICT_Setup01,Time Filter (ICT session not active),True,True,False
2025-12-08 11:25:00+00:00,2025-12-08 19:25:00 HKT,LONG,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
2025-12-08 13:00:00+00:00,2025-12-08 21:00:00 HKT,SHORT,IFVG_Realtime,Time Filter (ICT session not active),True,True,False
