trade_num,direction,entry_time_utc,entry,stop_loss,take_profit,pnl,result,signal,entry_time_hk
73,LONG,2026-01-26T01:00:00,5043.14,4978.09,5173.24,400.0,WIN,ICT_Setup01,2026-01-26 09:00:00 HKT
74,LONG,2026-01-26T01:50:00,5078.0,5028.91,5176.18,-200.0,LOSS,ICT_Setup01,2026-01-26 09:50:00 HKT
75,LONG,2026-01-26T02:35:00,5085.12,5066.8,5121.76,-200.0,LOSS,ICT_Setup01,2026-01-26 10:35:00 HKT
76,LONG,2026-01-26T03:00:00,5081.76,5066.8,5111.68,-200.0,LOSS,ICT_Setup01,2026-01-26 11:00:00 HKT
77,LONG,2026-01-26T09:40:00,5091.5,5080.12,5114.26,-200.0,LOSS,ICT_Setup01,2026-01-26 17:40:00 HKT
78,LONG,2026-01-27T03:50:00,5074.66,5060.38,5103.22,-200.0,LOSS,ICT_Setup01,2026-01-27 11:50:00 HKT
79,LONG,2026-01-28T02:00:00,5207.46,5157.15,5308.08,400.0,WIN,ICT_Setup01,2026-01-28 10:00:00 HKT
80,LONG,2026-01-28T02:10:00,5209.99,5157.15,5315.67,400.0,WIN,ICT_Setup01,2026-01-28 10:10:00 HKT
81,LONG,2026-01-28T20:15:00,5338.69,5268.67,5478.73,400.0,WIN,ICT_Setup01,2026-01-29 04:15:00 HKT
82,SHORT,2026-01-30T02:35:00,5211.72,5450.96,4733.24,400.0,WIN,SB_FVG_Retrace,2026-01-30 10:35:00 HKT
83,SHORT,2026-01-30T07:45:00,5151.21,5186.33,5080.97,400.0,WIN,ICT_Setup01,2026-01-30 15:45:00 HKT
84,SHORT,2026-01-30T08:50:00,5110.54,5184.97,4961.68,400.0,WIN,ICT_Setup01,2026-01-30 16:50:00 HKT
85,SHORT,2026-01-30T09:00:00,5115.04,5184.97,4975.18,400.0,WIN,ICT_Setup01,2026-01-30 17:00:00 HKT
