time,open,high,low,close,EMA,3-4 AM,10-11 AM,2-3 PM,Shapes,Shapes,Trend MA,TF1 Trend,TF2 Trend,TF3 Trend,TF4 Trend
2025-12-02T04:30:00+08:00,4237.65,4241.59,4235.47,4240.8,4238.782269846271,0,0,0,0,0,,3,2,1,0
2025-12-02T04:45:00+08:00,4240.8,4241.02,4234.41,4237.36,4238.726494558182,0,0,0,0,0,,3,2,1,0
2025-12-02T05:00:00+08:00,4237.37,4238.95,4235.41,4238.38,4238.712906536292,0,0,0,0,0,,3,2,1,0
2025-12-02T05:15:00+08:00,4238.42,4240.44,4237.72,4238.7,4238.712400397614,0,0,0,0,0,,3,2,1,0
2025-12-02T05:30:00+08:00,4238.69,4238.71,4233.04,4233.36,4238.502502342806,0,0,0,0,0,,3,2,1,0
2025-12-02T05:45:00+08:00,4233.53,4234.54,4229.92,4232.16,4238.2537767607355,0,0,0,0,0,,3,2,1,0
2025-12-02T07:00:00+08:00,4228.59,4233.81,4228.59,4233.19,4238.055197279922,0,0,0,0,0,,3,2,1,0
2025-12-02T07:15:00+08:00,4233.31,4236,4231.64,4235.53,4237.956169935612,0,0,0,0,0,,3,2,1,0
2025-12-02T07:30:00+08:00,4235.54,4235.77,4228.61,4230.92,4237.680241702843,0,0,0,0,0,,3,2,1,0
2025-12-02T07:45:00+08:00,4230.9,4230.95,4224.68,4227.56,4237.2833694792025,0,0,0,0,0,,3,2,1,0
2025-12-02T08:00:00+08:00,4227.58,4227.89,4223.55,4227,4236.880100087861,0,0,0,0,0,,3,2,1,0
2025-12-02T08:15:00+08:00,4226.84,4227.69,4221.5,4225,4236.414213809906,0,0,0,0,0,,3,2,1,0
2025-12-02T08:30:00+08:00,4225.05,4228.63,4224.11,4228.32,4236.0967936604975,0,0,0,0,0,,3,2,1,0
2025-12-02T08:45:00+08:00,4228.31,4229.74,4223.3,4226.86,4235.734566458125,0,0,0,0,0,,3,2,1,0
2025-12-02T09:00:00+08:00,4226.68,4227.04,4198.85,4205.42,4234.545759930355,0,0,0,0,0,,3,2,1,0
2025-12-02T09:15:00+08:00,4205.53,4216.1,4204.72,4213.9,4233.736122286028,0,0,0,0,0,,3,2,1,0
2025-12-02T09:30:00+08:00,4213.8,4218.2,4208.88,4211.04,4232.846078274812,0,0,0,0,0,,3,2,1,0
2025-12-02T09:45:00+08:00,4211.09,4220.99,4210.14,4219.43,4232.319957558152,0,0,0,0,0,,3,2,1,0
2025-12-02T10:00:00+08:00,4219.48,4221.68,4215.54,4219.09,4231.8011356931265,0,0,0,0,0,,3,2,1,0
2025-12-02T10:15:00+08:00,4219.06,4223.34,4215.96,4217.18,4231.227757822808,0,0,0,0,0,,3,2,1,0
2025-12-02T10:30:00+08:00,4217.15,4221.66,4214.55,4221.31,4230.838826143482,0,0,0,0,0,,3,2,1,0
2025-12-02T10:45:00+08:00,4221.33,4224.49,4219.87,4221.62,4230.47730354962,0,0,0,0,0,,3,2,1,0
2025-12-02T11:00:00+08:00,4221.38,4225.31,4220.5,4223.87,4230.218193606498,0,0,0,0,0,,3,2,1,0
2025-12-02T11:15:00+08:00,4223.88,4226.24,4222.16,4222.51,4229.915911504282,0,0,0,0,0,,3,2,1,0
2025-12-02T11:30:00+08:00,4222.32,4225.4,4220.6,4221.39,4229.581562033526,0,0,0,0,0,,3,2,1,0
2025-12-02T11:45:00+08:00,4221.2,4221.89,4215.87,4216.89,4229.083853718485,0,0,0,0,0,,3,2,1,0
2025-12-02T12:00:00+08:00,4216.85,4220.49,4215.4,4216.71,4228.598604553054,0,0,0,0,0,,3,2,1,0
2025-12-02T12:15:00+08:00,4216.83,4219.04,4215.32,4216.55,4228.126110256856,0,0,0,0,0,,3,2,1,0
2025-12-02T12:30:00+08:00,4216.55,4218.19,4213.83,4217.95,4227.727047109528,0,0,0,0,0,,3,2,1,0
2025-12-02T12:45:00+08:00,4217.77,4218.82,4216.01,4218.81,4227.3773589875855,0,0,0,0,0,,3,2,1,0
2025-12-02T13:00:00+08:00,4218.81,4219.88,4215.37,4219.28,4227.059815497876,0,0,0,0,0,,3,2,1,0
2025-12-02T13:15:00+08:00,4219.29,4223.22,4219.12,4221.4,4226.8378619489395,0,0,0,0,0,,3,2,1,0
2025-12-02T13:30:00+08:00,4221.35,4223.16,4218.95,4220.46,4226.587749715648,0,0,0,0,0,,3,2,1,0
2025-12-02T13:45:00+08:00,4220.42,4225.45,4219.94,4225.02,4226.526269334642,0,0,0,0,0,,3,2,1,0
2025-12-02T14:00:00+08:00,4225.01,4226.31,4223.8,4223.93,4226.4244548509305,0,0,0,0,0,,3,2,1,0
2025-12-02T14:15:00+08:00,4223.92,4224.16,4204.28,4205.66,4225.610162503835,0,0,0,0,0,,3,2,1,0
2025-12-02T14:30:00+08:00,4205.67,4210.37,4203.26,4209.49,4224.977999268391,0,0,0,0,0,,3,2,1,0
2025-12-02T14:45:00+08:00,4209.48,4215.39,4207.8,4212.89,4224.503960081395,0,0,0,0,0,,3,2,1,0
2025-12-02T15:00:00+08:00,4213.02,4214.58,4210.4,4213.66,4224.07870674487,0,0,0,0,0,,3,2,1,0
2025-12-02T15:15:00+08:00,4213.65,4219.2,4213.63,4217.49,4223.820326088208,0,0,0,0,0,,3,2,1,0
2025-12-02T15:30:00+08:00,4217.64,4218.55,4211.26,4211.45,4223.33521526122,0,0,0,0,0,,3,2,1,0
2025-12-02T15:45:00+08:00,4211.36,4214.17,4209.73,4213.15,4222.935795054897,0,0,0,0,0,,3,2,1,0
2025-12-02T16:00:00+08:00,4213.29,4215.39,4207.07,4214.42,4222.601842307647,0,0,0,0,0,,3,2,1,0
2025-12-02T16:15:00+08:00,4214.4,4217.15,4212.24,4214.59,4222.287652413229,0,0,0,0,0,,3,2,1,0
2025-12-02T16:30:00+08:00,4214.58,4216.56,4211.46,4212.33,4221.897156240161,1,0,0,0,0,,3,2,1,0
2025-12-02T16:45:00+08:00,4212.3,4214.39,4210.18,4210.26,4221.440797171919,0,0,0,0,0,,3,2,1,0
2025-12-02T17:00:00+08:00,4209.93,4213.2,4204.84,4207.99,4220.913314929883,0,0,0,0,0,,3,2,1,0
2025-12-02T17:15:00+08:00,4207.86,4208.78,4192.17,4194.12,4219.862596697339,0,0,0,0,0,,3,2,1,0
2025-12-02T17:30:00+08:00,4194.46,4195.65,4180.97,4190.68,4218.71818114058,0,0,0,0,0,,3,2,1,0
2025-12-02T17:45:00+08:00,4190.69,4194.01,4187.71,4192.04,4217.6719779585965,0,0,0,0,0,,3,2,1,0
2025-12-02T18:00:00+08:00,4192,4192.45,4186.26,4187.04,4216.470723921005,0,0,0,0,0,,3,2,1,0
2025-12-02T18:15:00+08:00,4186.82,4189.35,4182.25,4186.54,4215.29697004175,0,0,0,0,0,,3,2,1,0
2025-12-02T18:30:00+08:00,4186.47,4188.39,4184.51,4187.5,4214.206892785211,0,0,0,0,0,,3,2,1,0
2025-12-02T18:45:00+08:00,4187.51,4189.88,4182.1,4185.57,4213.083877381869,0,0,0,0,0,,3,2,1,0
2025-12-02T19:00:00+08:00,4185.56,4189.65,4184.82,4187.68,4212.087646896305,0,0,0,0,0,,3,2,1,0
2025-12-02T19:15:00+08:00,4187.66,4197.01,4186.82,4197.01,4211.496366625862,0,0,0,0,0,,3,2,1,0
2025-12-02T19:30:00+08:00,4196.76,4200.53,4194.52,4197.77,4210.958077738573,0,0,0,0,0,,3,2,1,0
2025-12-02T19:45:00+08:00,4197.83,4205.76,4196.3,4205.29,4210.735800180198,0,0,0,0,0,,3,2,1,0
2025-12-02T20:00:00+08:00,4205.27,4208.08,4204,4204.99,4210.510474682935,0,0,0,0,0,,3,2,1,0
2025-12-02T20:15:00+08:00,4204.99,4207.06,4201.01,4204.42,4210.271632538506,0,0,0,0,0,,3,2,1,0
2025-12-02T20:30:00+08:00,4204.4,4206.52,4202.32,4205.2,4210.072744987977,0,0,0,0,0,,3,2,1,0
2025-12-02T20:45:00+08:00,4205.28,4209.66,4204.02,4208.53,4210.012245184526,0,0,0,0,0,,3,2,1,0
2025-12-02T21:00:00+08:00,4208.81,4215.16,4202.22,4204.71,4209.804314000819,0,0,0,0,0,,3,2,1,0
2025-12-02T21:15:00+08:00,4204.71,4208.87,4202.09,4203.74,4209.566497765493,0,0,0,0,0,,3,2,1,0
2025-12-02T21:30:00+08:00,4203.66,4209.41,4202.86,4205.23,4209.396439029591,0,0,0,0,0,,3,2,1,0
2025-12-02T21:45:00+08:00,4205.36,4212.86,4202.61,4212.53,4209.519323773529,0,0,0,0,0,,3,2,1,0
